Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V01400,VELAN*                                            ,B-0074C-02TY                                      ,PCSSME  ,1998-9-4
V01400,WALWORTH*                                         ,5275WE-UT                                         ,PCSSME  ,1998-9-4
V01401,KITZ                                              ,150APACND-Q                                       ,COBBS2  ,2002-11-12
V01401,KITZ                                              ,150UPACNB-Q                                       ,COBBS2  ,2002-11-12
V01402,KITZ*                                             ,150SCJS                                           ,PCSSME  ,1998-12-30
V01402,NEWCO*                                            ,21F-CB2RP                                         ,PCSSME  ,1998-12-30
V01402,VELAN*                                            ,F-0074C-02TY                                      ,PCSSME  ,1998-12-30
V01402,WALWORTH*                                         ,5275F-UT                                          ,PCSSME  ,1998-12-30
V01403,COOPER                                            ,215-RF                                            ,,
V01403,KITZ*                                             ,150UPAM                                           ,PCSSME  ,1998-9-4
V01403,LADISH                                            ,7272-CF8M                                         ,,
V01403,VELAN*                                            ,F-0074C-13MY                                      ,PCSSME  ,1998-9-4
V01404,(1) VELAN*                                        ,W-2074C-14MY                                      ,PCSSME  ,1998-9-4
V01404,BONNEY FORGE*                                     ,HL-38L-SW                                         ,PCSSME  ,1999-2-22
V01404,COOPER                                            ,11-X                                              ,,
V01404,KITZ*                                             ,AW150UP0                                          ,PCSSME  ,1998-9-4
V01404,LADISH                                            ,7271-CF3M                                         ,,
V01404,POWELL                                            ,2446-SWE                                          ,,
V01405,BONNEY FORGE*                                     ,21F-CB9-N1                                        ,PCSSME  ,1999-2-22
V01405,KITZ*                                             ,150SCJSMM                                         ,PCSSME  ,1999-2-18
V01405,PACIFIC                                           ,160-12H                                           ,,
V01405,VELAN*                                            ,F-0074C-02MY                                      ,PCSSME  ,1998-9-4
V01405,WALWORTH*                                         ,5275F                                             ,PCSSME  ,1998-9-4
V01406,VELAN                                             ,W-0074E-14M                                       ,PCSSME  ,1999-7-21
V01407,KITZ*                                             ,AW150UPAO                                         ,PCSSME  ,1999-7-19
V01408,KITZ                                              ,,PCSSME  ,1999-7-12
V01408,NEWCO                                             ,,PCSSME  ,1999-7-12
V01408,PACIFIC                                           ,,PCSSME  ,1999-7-12
V01408,VELAN                                             ,,PCSSME  ,1999-7-12
V01408,WALWORTH                                          ,,PCSSME  ,1999-7-12
V01409,KITZ*                                             ,150SCJS                                           ,PCSSME  ,1999-2-18
V01409,NEWCO*                                            ,21F-CB2                                           ,PCSSME  ,1998-9-4
V01409,PACIFIC                                           ,160-U                                             ,,
V01409,VELAN*                                            ,F-0074C-02TY                                      ,PCSSME  ,1998-9-4
V01409,WALWORTH*                                         ,5275F-UT                                          ,PCSSME  ,1998-9-4
V01410,KITZ*                                             ,150SCJS                                           ,PCSSME  ,1999-2-22
V01410,NEWCO*                                            ,21F-CB2                                           ,PCSSME  ,1999-2-22
V01410,PACIFIC                                           ,160-U-WCB                                         ,PCSSME  ,1999-2-18
V01410,VELAN*                                            ,F-0074C-02TY                                      ,PCSSME  ,1999-2-22
V01410,WALWORTH*                                         ,5275F-UT                                          ,PCSSME  ,1999-2-22
